,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,Chennai Super Kings,Kolkata Knight Riders,192,165,    20,"        
                    20",3,9,"[' Dubai International Stadium', ' Dubai\n            ']"
1,Kolkata Knight Riders,Delhi Capitals,136,135,    19.5," 
                    20",7,5,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
2,Kolkata Knight Riders,Royal Challengers Bangalore,139,138,    19.4,"              
                    20",6,7,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
3,Chennai Super Kings,Delhi Capitals,173,172,    19.4," 
                    20",6,5,"[' Dubai International Stadium', ' Dubai\n            ']"
4,Mumbai Indians,Sunrisers Hyderabad,235,193,    20,"      
                    20",9,8,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
5,Royal Challengers Bangalore,Delhi Capitals,166,164,    20," 
                    20",3,5,"[' Dubai International Stadium', ' Dubai\n            ']"
6,Kolkata Knight Riders,Rajasthan Royals,171,85,    20,     16.1,4,2,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
7,Punjab Kings,Chennai Super Kings,139,134,    13,"      
                    20",4,6,"[' Dubai International Stadium', ' Dubai\n            ']"
8,Sunrisers Hyderabad,Royal Challengers Bangalore,141,137,    20,"              
                    20",7,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
9,Mumbai Indians,Rajasthan Royals,94,90,   8.2,"  
                    20",2,9,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
10,Delhi Capitals,Chennai Super Kings,139,136,    19.4,"      
                    20",7,5,"[' Dubai International Stadium', ' Dubai\n            ']"
11,Kolkata Knight Riders,Sunrisers Hyderabad,119,115,    19.4,"      
                    20",4,8,"[' Dubai International Stadium', ' Dubai\n            ']"
12,Royal Challengers Bangalore,Punjab Kings,164,158,    20,                    20,7,6,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
13,Rajasthan Royals,Chennai Super Kings,190,189,    17.3,"      
                    20",3,4,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
14,Delhi Capitals,Mumbai Indians,132,129,    19.1," 
                    20",6,8,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
15,Punjab Kings,Kolkata Knight Riders,168,165,    19.3,"        
                    20",5,7,"[' Dubai International Stadium', ' Dubai\n            ']"
16,Chennai Super Kings,Sunrisers Hyderabad,139,134,    19.4,"      
                    20",4,7,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
17,Royal Challengers Bangalore,Rajasthan Royals,153,149,    17.1,"   
                    20",3,9,"[' Dubai International Stadium', ' Dubai\n            ']"
18,Mumbai Indians,Punjab Kings,137,135,    19,                    20,4,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
19,Kolkata Knight Riders,Delhi Capitals,130,127,    18.2," 
                    20",7,9,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
20,Sunrisers Hyderabad,Rajasthan Royals,167,164,    18.3,"   
                    20",3,5,"[' Dubai International Stadium', ' Dubai\n            ']"
21,Royal Challengers Bangalore,Mumbai Indians,165,111,    20,    18.1,6,2,"[' Dubai International Stadium', ' Dubai\n            ']"
22,Chennai Super Kings,Kolkata Knight Riders,172,171,    20,"        
                    20",8,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
23,Punjab Kings,Sunrisers Hyderabad,125,120,    20,"      
                    20",7,7,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
24,Delhi Capitals,Rajasthan Royals,154,121,    20,"   
                    20",6,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
25,Chennai Super Kings,Royal Challengers Bangalore,157,156,    18.1,"              
                    20",4,6,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
26,Kolkata Knight Riders,Mumbai Indians,159,155,    15.1," 
                    20",3,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
27,Delhi Capitals,Sunrisers Hyderabad,139,134,    17.5,"      
                    20",2,9,"[' Dubai International Stadium', ' Dubai\n            ']"
28,Rajasthan Royals,Punjab Kings,185,183,,                    20,2,4,"[' Dubai International Stadium', ' Dubai\n            ']"
29,Kolkata Knight Riders,Royal Challengers Bangalore,94,92,   10,                19,1,2,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
30,Chennai Super Kings,Mumbai Indians,156,136,    20," 
                    20",6,8,"[' Dubai International Stadium', ' Dubai\n            ']"
31,Delhi Capitals,Punjab Kings,167,166,    17.4,                    20,3,6,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
32,Rajasthan Royals,Sunrisers Hyderabad,220,165,    20,"      
                    20",3,8,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
33,Mumbai Indians,Chennai Super Kings,219,218,    20,"      
                    20",6,4,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
34,Punjab Kings,Royal Challengers Bangalore,179,145,    20,"              
                    20",5,8,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
35,Delhi Capitals,Kolkata Knight Riders,156,154,    16.3,"        
                    20",3,6,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
36,Mumbai Indians,Rajasthan Royals,172,171,    18.3,"   
                    20",3,4,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
37,Chennai Super Kings,Sunrisers Hyderabad,173,171,    18.3,"      
                    20",3,3,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
38,Royal Challengers Bangalore,Delhi Capitals,171,170,    20," 
                    20",5,4,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
39,Kolkata Knight Riders,Punjab Kings,126,123,    16.4,                    20,5,9,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
40,Delhi Capitals,Sunrisers Hyderabad,159,159,    20,"      
                    20",4,7,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
41,Chennai Super Kings,Royal Challengers Bangalore,191,122,    20,"              
                    20",4,9,"[' Wankhede Stadium', ' Mumbai\n            ']"
42,Rajasthan Royals,Kolkata Knight Riders,134,133,    18.5,"        
                    20",4,9,"[' Wankhede Stadium', ' Mumbai\n            ']"
43,Punjab Kings,Mumbai Indians,132,131,    17.4," 
                    20",1,6,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
44,Royal Challengers Bangalore,Rajasthan Royals,181,177,    16.3,"   
                    20",0,9,"[' Wankhede Stadium', ' Mumbai\n            ']"
45,Chennai Super Kings,Kolkata Knight Riders,220,202,    20,           19.1,3,2,"[' Wankhede Stadium', ' Mumbai\n            ']"
46,Sunrisers Hyderabad,Punjab Kings,121,120,    18.4,  19.4,1,2,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
47,Delhi Capitals,Mumbai Indians,138,137,    19.1," 
                    20",4,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
48,Chennai Super Kings,Rajasthan Royals,188,143,    20,"   
                    20",9,9,"[' Wankhede Stadium', ' Mumbai\n            ']"
49,Delhi Capitals,Punjab Kings,198,195,    18.2,                    20,4,4,"[' Wankhede Stadium', ' Mumbai\n            ']"
50,Royal Challengers Bangalore,Kolkata Knight Riders,204,166,    20,"        
                    20",4,8,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
51,Mumbai Indians,Sunrisers Hyderabad,150,137,    20,         19.4,5,2,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
52,Chennai Super Kings,Punjab Kings,107,106,    15.4,                    20,4,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
53,Rajasthan Royals,Delhi Capitals,150,147,    19.4," 
                    20",7,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
54,Royal Challengers Bangalore,Sunrisers Hyderabad,149,143,    20,"      
                    20",8,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
55,Mumbai Indians,Kolkata Knight Riders,152,142,,"        
                    20",2,7,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
56,Punjab Kings,Rajasthan Royals,221,217,    20,"   
                    20",6,7,"[' Wankhede Stadium', ' Mumbai\n            ']"
57,Kolkata Knight Riders,Sunrisers Hyderabad,187,177,    20,"      
                    20",6,5,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
58,Delhi Capitals,Chennai Super Kings,190,188,    18.4,"      
                    20",3,7,"[' Wankhede Stadium', ' Mumbai\n            ']"
59,Royal Challengers Bangalore,Mumbai Indians,160,159,    20," 
                    20",8,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
